Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Salisbury, MD Metro Area",53152,1412,4447,10248,12165,7412,2346,7225,1049,1433,2352,1790,1273,2012
"Salisbury, NC Micro Area",53049,1594,5056,9034,8429,9811,4089,4616,504,1231,3598,3667,1420,2012
"Salt Lake City, UT Metro Area",533661,11676,41936,78183,96936,108589,35963,79240,12140,17327,30081,13149,8441,2012
"San Angelo, TX Metro Area",53011,2635,10505,15603,12862,5082,924,1531,290,491,1021,1094,973,2012
"San Antonio-New Braunfels, TX Metro Area",971730,23624,84245,122000,157153,171239,72442,155364,27637,37133,63746,37648,19499,2012
"San Diego-Carlsbad-San Marcos, CA Metro Area",1361160,24230,96577,188783,247126,245649,102726,211875,35091,46827,85752,51112,25412,2012
"Sandusky, OH Metro Area",33600,1128,5284,7960,6116,3303,2298,3053,613,308,1378,1401,758,2012
"San Francisco-Oakland-Fremont, CA Metro Area",1991876,30251,130436,219878,268688,269119,111785,310916,59980,102800,222230,205973,59820,2012
"San Germán-Cabo Rojo, PR Metro Area",31210,263,2439,4378,4902,5582,3042,4633,494,1900,1636,1004,937,2012
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",845216,11328,58626,106767,142339,155913,59615,134482,20241,33636,62471,45409,14389,2012
"San Juan-Caguas-Guaynabo, PR Metro Area",734433,14466,38912,67975,101645,100184,32369,130729,16726,37215,72085,90037,32090,2012
"San Luis Obispo-Paso Robles, CA Metro Area",117936,5394,19239,21705,18157,16556,6488,11007,3138,3969,5826,3686,2771,2012
"Santa Barbara-Santa Maria-Goleta, CA Metro Area",180639,6716,33160,40947,36065,24571,4756,15812,2878,2792,5586,4545,2811,2012
"Santa Cruz-Watsonville, CA Metro Area",121110,1329,12178,20270,25211,15085,4211,11965,1950,5126,12027,9370,2388,2012
